CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
11999157-101002111702,"5946 SOUTHINGTON, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0761540320004,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 19:20:50,2016-03-21 19:20:49,2016-03-21 09:05:02,-0.43,Flooding-101002111702,3133773.77889,13813244.56988,29.68045895,-95.3295554,Voice In
11999156-101002111703,"5007 MADALYN, HOUSTON TX 77021",HARRIS,D,GREATER OST / SOUTH UNION,0611390290026,SE,SW,TUESDAY,3rd Thursday,TUESDAY-A,534E,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 19:21:04,2016-03-21 19:21:04,2016-03-21 07:30:03,-0.49,Flooding-101002111703,3131228.78037,13821777.644339997,29.70413327,-95.3367249,Voice In
101002111713,"5927 SOUTHINGTON, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0761540280022,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 19:43:47,2016-03-21 19:41:29,2016-03-21 06:36:46,-0.54,Flooding,,,29.68070729,-95.33050706,Voice In
11999171-101002111738,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,,K,MEDICAL CENTER AREA,,,,,,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 20:12:28,2016-03-21 20:12:28,2016-03-19 13:55:07,-2.26,Flooding-101002111738,3109520.07149,13821872.18451,,,Voice In
11999176-101002111746,"5927 SOUTHINGTON, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0761540280022,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 20:19:34,2016-03-21 20:19:34,2016-03-21 07:50:02,-0.52,Flooding-101002111746,3133468.91599,13813325.346940003,29.68070729,-95.33050706,Voice In
11999171-101002111749,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,,K,MEDICAL CENTER AREA,,,,,,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 20:21:51,2016-03-21 20:21:51,2016-03-18 20:22:37,-3.0,Flooding-101002111749,3109520.07149,13821872.18451,,,Voice In
11999489-101002111797,"6322 CRESTVILLE, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0761530050001,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534P,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-18 23:39:14,2016-03-21 23:39:14,2016-03-24 13:35:05,2.58,Flooding-101002111797,3134387.84755,13816015.63979,29.6880228,-95.32734843,Voice In
11999360-101002112389,"5518 DARLING, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,0102180000334,NW,NW,THURSDAY,3rd Wednesday,THURSDAY-B,492C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-20 10:12:09,2016-03-23 10:12:09,2016-03-21 08:35:03,-2.07,Flooding - 114768,3103690.84218,13848497.50012,29.78002117,-95.42085618,WAP
11999474-101002112696,Intersection 3220 BROAD ST&4100 SUE ELLEN ST,Harris County,I,GULFGATE RIVERVIEW / PINE VALLEY,,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-20 20:47:28,2016-03-23 20:47:28,2016-03-23 15:40:04,-0.21,Flooding-101002112696,3139803.48238,13820364.81548,29.69950862,-95.30986785,Voice In
11999569-101002113072,Intersection 1000 HOLCOMBE BLVD&2100 W HOLCOMBE BLVD&6800 MAIN ST,,K,MEDICAL CENTER AREA,,,,,,,532H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-21 09:48:25,2016-03-24 09:48:25,2016-03-22 07:50:03,-2.08,Flooding-101002113072,3109520.07149,13821872.18451,,,Voice In
12000355-101002115932,"4640 RUSK, HOUSTON TX 77023",HARRIS,I,GREATER EASTWOOD,0130210000008,SE,SE,MONDAY,1st Wednesday,MONDAY-A,494T,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-23 07:13:10,2016-03-26 07:13:10,2016-03-24 13:40:05,-1.73,Flooding,,,29.74095874,-95.3287955,Unknown
12000717-101002117367,Intersection 4200 ELGIN ST&2300 S LOCKWOOD DR,Harris County,D,GREATER THIRD WARD,,,,,,,494W,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 06:09:43,2016-03-27 06:09:43,2016-03-24 08:15:04,-2.91,Flooding-101002117367,3130515.73751,13829793.75331,29.72622849,-95.33817943,Voice In
12000719-101002117373,"9555 POST OAK, HOUSTON TX 77096",HARRIS,K,WILLOW MEADOWS / WILLOWBEND AREA,1142750020003,,,,,,531V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 06:22:59,2016-03-27 06:22:59,2016-03-24 15:40:05,-2.61,Flooding - 115417,3093021.45352,13810199.09775,29.67648464,-95.45775751,WAP
12000727-101002117385,"211 LAKEMERE, HOUSTON TX 77079",HARRIS,G,MEMORIAL,0942060000088,NW,NW,MONDAY,4th Wednesday,MONDAY-A,489L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 06:52:53,2016-03-27 06:52:52,2016-03-24 15:45:06,-2.63,Flooding-101002117385,3058005.68174,13841583.06339,29.76468321,-95.56545149,Voice In
12000796-101002117573,"6347 LIMESTONE, HOUSTON TX 77092",HARRIS,A,LANGWOOD,0870480000004,NW,NW,FRIDAY,4th Thursday,FRIDAY-A,451K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 08:59:43,2016-03-27 08:59:43,2016-03-29 08:20:03,1.97,Flooding-101002117573,3083064.85702,13864463.62164,29.82552913,-95.48433458,Voice In
12000833-101002117722,"5500 ARDMORE, HOUSTON TX 77021",HARRIS,D,MACGREGOR,0611310430001,SE,SW,TUESDAY,3rd Thursday,TUESDAY-A,533G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 10:14:46,2016-03-27 10:14:46,2016-03-29 10:45:03,2.02,Flooding,,,29.71271194,-95.37176537,WEB
12000843-101002117753,Intersection 4900 AIRLINE DR&2 BERRY RD,,H,NORTHSIDE/NORTHLINE,,,,,,,453F,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 10:31:18,2016-03-27 10:31:18,2016-03-29 08:05:04,1.9,Flooding-101002117753,3114622.43563,13869687.41565,,,Voice In
12000847-101002117758,"7619 WAXAHACHIE, HOUSTON TX 77020",HARRIS,H,DENVER HARBOR / PORT HOUSTON,0560010000013,NE,NE,FRIDAY,1st Tuesday,FRIDAY-B,495E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 10:32:51,2016-03-27 10:32:50,2016-03-29 07:05:03,1.86,Flooding-101002117758,3144894.22319,13849714.355859997,29.77973736,-95.29090893,Voice In
12000994-101002118307,Intersection 500 BRINGHURST ST&3500 CLINE ST,Harris County,B,GREATER FIFTH WARD,,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 15:02:09,2016-03-27 15:02:09,2016-03-28 16:25:02,1.06,Flooding-101002118307,3131450.43971,13844551.5112,29.76671215,-95.33377846,Voice In
12001014-101002118437,"3520 GILLESPIE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,0090180000011,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 16:12:07,2016-03-27 16:12:06,2016-03-28 16:25:03,1.01,Flooding - 115548,3131435.50777,13844808.242819998,29.76722025,-95.33392019,WAP
12001090-101002118774,Intersection 5300 LA BRANCH ST&1500 OAKDALE ST,,D,MUSEUM PARK,,SW,SW,TUESDAY,3rd Monday,Tuesday-b,493X,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-24 22:39:49,2016-03-27 22:39:49,2016-03-25 10:40:06,-2.5,Flooding-101002118774,3116079.99571,13828980.91865,,,Voice In
101002119257,"7302 GUADALCANAL, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751890110030,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,534S,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-25 11:27:03,2016-03-28 11:27:03,2016-03-28 09:10:52,-0.09,Flooding,,,29.67991483,-95.3460755,Voice In
12001343-101002119742,Intersection 2950 KIRBY DR&2600 STEEL ST,Harris County,C,GREENWAY / UPPER KIRBY AREA,,,,,1st Wednesday,,492U,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-25 16:14:40,2016-03-28 16:14:40,2016-03-28 12:10:02,-0.17,Flooding-101002119742,3104810.82993,13833748.35531,29.73928717,-95.41874974,Voice In
12001729-101002120853,"7302 GUADALCANAL, HOUSTON TX 77033",HARRIS,D,SOUTH PARK,0751890110030,SE,SE,FRIDAY,4th Thursday,FRIDAY-A,534S,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-28 08:57:48,2016-03-31 08:56:00,2016-03-28 09:07:54,-2.99,Flooding-101002120853,3128536.9521,13812882.576179998,29.67991483,-95.3460755,Voice In
12001875-101002121278,"8015 BEECH COVE, HOUSTON TX 77072",HARRIS,F,ALIEF,1013690000002,SW,SW,MONDAY,1st Wednesday,MONDAY-B,529J,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-28 11:47:01,2016-03-31 11:47:01,2016-04-04 09:20:03,3.9,Flooding,,,29.69069761,-95.5921768,WEB
101002125835,"5118 VINETT, HOUSTON TX 77017",HARRIS,E,MEADOWBROOK / ALLENDALE,0771770100019,SE,SE,MONDAY,1st Monday,MONDAY-B,536N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-31 14:09:55,2016-04-03 14:09:55,2016-04-01 08:14:10,-2.25,Flooding,,,29.69365641,-95.24270678,Voice In
12003068-101002125849,"5118 VINETT, HOUSTON TX 77017",HARRIS,E,MEADOWBROOK / ALLENDALE,0771770100019,SE,SE,MONDAY,1st Monday,MONDAY-B,536N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-03-31 14:15:40,2016-04-03 14:15:39,2016-04-11 10:25:03,7.84,Flooding-101002125849,3161182.50262,13818916.63727,29.69365641,-95.24270678,Voice In
12004166-101002130043,"811 THREADNEEDLE, HOUSTON TX 77079",HARRIS,G,MEMORIAL,1149700150006,,,,,,488C,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-04 16:34:43,2016-04-07 16:34:43,2016-04-06 09:35:04,-1.29,Flooding,,,29.78066076,-95.61338067,WEB
12005310-101002133774,"810 ARCHER, HOUSTON TX 77009",HARRIS,H,GREATER HEIGHTS,0331150640002,NW,NW,THURSDAY,1st Friday,THURSDAY-A,453X,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-07 09:20:38,2016-04-10 09:20:38,2016-04-07 09:40:10,-2.99,Flooding,,,29.79879598,-95.37360852,WEB
12005718-101002135175,"6003 RICHMOND, HOUSTON TX 77057",HARRIS,J,MID WEST,0690440010110,,,,,,491X,Harris County PID#2,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-08 01:38:55,2016-04-11 01:37:00,2016-04-08 04:40:10,-2.87,Flooding-101002135175,3084055.69231,13830123.50921,29.73105484,-95.48446614,Voice In
12005720-101002135182,Intersection 3200 FRESHMEADOWS DR&7600 RICHMOND AVE,,F,MID WEST,,,,,,,490Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-08 03:48:23,2016-04-11 03:47:00,2016-04-08 06:20:11,-2.89,Flooding-101002135182,3078283.10674,13830116.716579998,,,Voice In
12007165-101002140763,"7850 W TIDWELL, HOUSTON TX 77040",HARRIS,A,FAIRBANKS / NORTHWEST CROSSING,1181180010004,,,,,,450D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-13 06:52:10,2016-04-16 06:52:10,2016-04-13 16:20:05,-2.61,Flooding - 118716,3075083.00661,13873670.014940003,29.85197089,-95.50859059,WAP
12007431-101002141621,Intersection 8600 NORTON DR&2600 SOWAY ST,,A,LANGWOOD,,NW,NE,FRIDAY,4th Thursday,Friday-a,450R,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-13 15:13:17,2016-04-16 15:13:17,2016-04-13 16:25:04,-2.95,Flooding-101002141621,3076440.60222,13861693.39883,,,Voice In
12007456-101002141700,"11209 TODD, HOUSTON TX 77055",HARRIS,A,SPRING BRANCH EAST,0730570000039,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,451P,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-13 15:56:52,2016-04-16 15:56:52,2016-04-14 15:00:05,-2.04,Flooding,,,29.81189174,-95.47587434,WEB
12007634-101002142361,"4705 UNIVERSITY OAKS, HOUSTON TX 77004",HARRIS,D,MACGREGOR,0681270090016,SE,SW,TUESDAY,3rd Thursday,TUESDAY-A,534E,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-14 10:23:05,2016-04-17 10:23:05,2016-04-15 09:20:06,-2.04,Flooding - 118975,3129146.70142,13825278.68012,29.71391894,-95.34290418,WAP
12007790-101002143006,"1445 LAKESIDE, HOUSTON TX 77042",HARRIS,G,BRIAR FOREST,0451380010083,,,,,,489Q,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-14 15:22:07,2016-04-17 15:22:07,2016-04-19 15:40:02,2.01,Flooding - 119076,3057165.70532,13836522.971619997,29.7508441,-95.56856647,WAP
12008056-101002144021,"10970 MCNAIR, HOUSTON TX 77015",HARRIS,I,NORTHSHORE,0642250050051,NE,NE,THURSDAY,1st Monday,THURSDAY-A,496H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-15 12:11:39,2016-04-18 12:11:38,2016-04-19 18:45:02,1.27,Flooding-101002144021,3173767.53486,13848012.52855,29.77251115,-95.20011091,Voice In
12008589-101002145701,Intersection 6700 LONG POINT RD&1800 SILBER RD,,A,SPRING BRANCH EAST,,NW,NE,FRIDAY,4th Wednesday,,451U,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-17 23:16:14,2016-04-20 23:16:14,2016-04-18 18:20:02,-2.21,Flooding-101002145701,3088416.9431,13856394.470780002,,,Voice In
12008595-101002145709,Intersection 6116 BERENDO ST&4252 BETHEL BLVD,Harris County,C,CENTRAL NORTHWEST,,NW,NW,THURSDAY,4th Tuesday,THURSDAY-B,451K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-17 23:41:01,2016-04-20 23:41:00,2016-04-18 19:35:02,-2.17,Flooding-101002145709,3084168.52312,13866757.27125,29.83174244,-95.48063774,Voice In
12008615-101002145750,Intersection 9100 HIGHCREST DR&9100 WESTERN DR,Harris County,A,SPRING BRANCH CENTRAL,,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,450U,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 04:58:38,2016-04-21 04:58:38,2016-04-18 18:25:03,-2.44,Flooding-101002145750,3073781.4248,13856715.11712,29.80499462,-95.51432808,Voice In
12008616-101002145752,"516 W 24TH, HOUSTON TX 77008",HARRIS,C,GREATER HEIGHTS,0200430000057,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:11:19,2016-04-21 05:11:19,2016-04-19 12:50:01,-1.68,Flooding-101002145752,3107866.12697,13858716.54061,29.80765962,-95.40670958,Voice In
12008617-101002145754,"1418 WYCLIFFE, HOUSTON TX 77043",HARRIS,A,SPRING BRANCH WEST,0813570000014,NW,NW,FRIDAY,4th Wednesday,FRIDAY-A,449X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:15:56,2016-04-21 05:15:56,2016-04-19 14:30:02,-1.62,Flooding-101002145754,3054920.97728,13851560.83675,29.79235898,-95.57424903,Voice In
12008618-101002145756,Intersection 10316 SHADOW OAKS DR&1400 WISTERWOOD DR,Harris County,A,SPRING BRANCH WEST,,NW,NE,FRIDAY,4th Friday,FRIDAY-A,449Z,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:17:14,2016-04-21 05:17:14,2016-04-19 17:15:06,-1.5,Flooding-101002145756,3061958.50061,13852219.91056,29.79360199,-95.55200956,Voice In
12008619-101002145757,"12423 WHITTINGTON, HOUSTON TX 77077",HARRIS,G,BRIAR FOREST,0991330000001,,,,,,488R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:22:12,2016-04-21 05:22:12,2016-04-18 19:40:02,-2.4,Flooding - 119602,3046749.66871,13834593.484940002,29.74625826,-95.60159624,WAP
12008621-101002145759,Intersection 1840 WESTCREST DR&8542 WESTERN DR,Harris County,A,SPRING BRANCH EAST,,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,450V,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:28:11,2016-04-21 05:28:11,2016-04-18 18:45:03,-2.45,Flooding-101002145759,3078383.80667,13856772.7712,29.80477515,-95.49981698,Voice In
12008623-101002145760,Intersection 10600 PIPING ROCK LN&2322 WALNUT BEND LN,Harris County,G,BRIAR FOREST,,,,,,,489U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:31:33,2016-04-21 05:31:33,2016-04-19 18:55:01,-1.44,Flooding-101002145760,3057738.57794,13832937.01999,29.74093829,-95.56709284,Voice In
12008624-101002145762,"2411 CRESTDALE, HOUSTON TX 77080",HARRIS,A,SPRING BRANCH NORTH,0882740000005,NW,NE,FRIDAY,4th Friday,FRIDAY-A,450P,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:35:05,2016-04-21 05:35:04,2016-04-18 18:30:04,-2.46,Flooding-101002145762,3068353.14595,13860260.398419997,29.81518349,-95.53110538,Voice In
12008629-101002145763,"14915 BRAMBLEWOOD, HOUSTON TX 77079",HARRIS,G,MEMORIAL,1000740000034,,,,,,488L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:38:40,2016-04-21 05:38:40,2016-04-18 18:50:02,-2.45,Flooding-101002145763,3041666.83023,13840896.92632,29.76410658,-95.61699155,Voice In
12008625-101002145764,"14903 ASHTEX, HOUSTON TX 77396",HARRIS,B,IAH / AIRPORT AREA,0891440000008,NE,NE,MONDAY,2nd Wednesday,MONDAY-B,375T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:40:23,2016-04-21 05:40:23,2016-04-20 11:20:04,-0.76,Flooding-101002145764,3145559.43905,13907082.503260003,29.93735797,-95.28306624,Voice In
12008628-101002145767,"14339 CINDYWOOD, HOUSTON TX 77079",HARRIS,G,MEMORIAL,0965230000004,,,,,,488H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:42:11,2016-04-21 05:42:11,2016-04-19 07:10:03,-1.94,Flooding - 119604,3047220.57702,13841998.953260003,29.76668532,-95.59940061,WAP
12008628-101002145768,"14339 CINDYWOOD, HOUSTON TX 77079",HARRIS,G,MEMORIAL,0965230000004,,,,,,488H,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:44:38,2016-04-21 05:44:38,2016-04-18 05:44:47,-3.0,Flooding,,,29.76668532,-95.59940061,WEB
12008630-101002145769,"5811 ELM, HOUSTON TX 77081",HARRIS,J,GULFTON,0832360000007,SW,SE,TUESDAY,1st Friday,TUESDAY-B,531F,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:50:28,2016-04-21 05:50:28,2016-04-20 20:20:01,-0.4,Flooding-101002145769,3084643.49461,13823407.00165,29.71254396,-95.48325116,Voice In
12008631-101002145771,"6004 TYNE, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,0512100060002,NW,NW,MONDAY,1st Wednesday,MONDAY-A,492G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:52:10,2016-04-21 05:52:10,2016-04-19 13:50:02,-1.67,Flooding - 119607,3103311.9361,13846662.97316,29.77492668,-95.42222936,WAP
12008635-101002145775,"2210 WILLOW POINT, HOUSTON TX 77339",HARRIS,E,KINGWOOD AREA,1059830000018,,,,,,296Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 05:52:20,2016-04-21 05:52:20,2016-04-18 19:25:04,-2.44,Flooding - 119611,3165521.34258,13950218.204819998,30.05409216,-95.21584637,WAP
12008638-101002145778,"618 8TH 1/2, HOUSTON TX 77007",HARRIS,C,GREATER HEIGHTS,1209650010005,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,493A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:02:13,2016-04-21 06:02:13,2016-04-18 12:25:03,-2.73,Flooding - 119613,3113162.64244,13850655.919779997,29.78600013,-95.39085104,WAP
12008639-101002145779,"1917 STILLWOOD, HOUSTON TX 77080",HARRIS,A,SPRING BRANCH NORTH,0832030000019,NW,NE,FRIDAY,4th Friday,FRIDAY-A,450T,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:02:14,2016-04-21 06:02:13,2016-04-18 09:55:03,-2.84,Flooding - 119612,3069662.7392,13857488.35928,29.80749741,-95.5273951,WAP
12008641-101002145781,Intersection 2000 HAILEY ST&3300 SUMPTER ST,Harris County,B,GREATER FIFTH WARD,,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:04:00,2016-04-21 06:04:00,2016-04-20 09:55:01,-0.84,Flooding-101002145781,3130396.13539,13849294.74777,29.77984047,-95.33663176,Voice In
12008644-101002145783,"11614 CHESSWOOD, HOUSTON TX 77072",HARRIS,F,ALIEF,1105290000005,SW,SW,MONDAY,1st Thursday,MONDAY-A,529B,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:10:35,2016-04-21 06:10:35,2016-04-19 19:30:02,-1.44,Flooding-101002145783,3052909.91897,13823397.81204,29.71510523,-95.58318055,Voice In
12008645-101002145785,"211 LAKEMERE, HOUSTON TX 77079",HARRIS,G,MEMORIAL,0942060000088,NW,NW,MONDAY,4th Wednesday,MONDAY-A,489L,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:15:36,2016-04-21 06:15:35,2016-04-19 15:35:03,-1.61,Flooding-101002145785,3058005.68174,13841583.06339,29.76468321,-95.56545149,Voice In
12008647-101002145787,"4903 HEATHERGLEN, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0911620000015,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:22:09,2016-04-21 06:22:09,2016-04-19 07:40:01,-1.95,Flooding - 119616,3092608.90341,13810616.114979997,29.676735,-95.46029509,WAP
12008648-101002145788,"8807 BLANKENSHIP, HOUSTON TX 77080",HARRIS,A,SPRING BRANCH CENTRAL,0852950000094,NW,NW,FRIDAY,4th Wednesday,Friday-a,450M,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:22:14,2016-04-21 06:22:14,2016-04-19 08:15:02,-1.92,Flooding - 119617,3074955.95549,13862862.0024,29.82179941,-95.51011376,WAP
12008635-101002145790,"2210 WILLOW POINT, HOUSTON TX 77339",HARRIS,E,KINGWOOD AREA,1059830000018,,,,,,296Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:30:23,2016-04-21 06:30:23,2016-04-18 06:30:32,-3.0,Flooding - 119618,3165465.74495,13950219.87524,30.05409216,-95.21584637,WAP
12008651-101002145792,"2903 KINGS FOREST, HOUSTON TX 77339",HARRIS,E,KINGWOOD AREA,1055640000018,,,,,,336D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:32:52,2016-04-21 06:32:52,2016-04-19 14:35:02,-1.67,Flooding-101002145792,3169049.72343,13948075.91603,30.04794953,-95.20474043,Voice In
12008652-101002145793,"2214 WILLOW POINT, HOUSTON TX 77339",HARRIS,E,KINGWOOD AREA,1059830000017,,,,,,296Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-18 06:42:09,2016-04-21 06:42:08,2016-04-18 19:40:02,-2.46,Flooding - 119621,3165543.81729,13950195.33601,30.05397601,-95.21561679,WAP
