,CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
98954,101002979647,Intersection 200 HAMBLEN RD&21800 LOOP 494,,E,KINGWOOD AREA,,,,,,,335M,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 12:35:18,2018-04-09 12:35:18,2018-04-06 09:49:21,-3.12,Pothole-101002979647-101002979647,3153087.56802,13941452.36989,,,Voice In
99019,12239693-101002979718,Intersection 13710 MEMORIAL DR&462 YORKCHESTER DR,Harris County,G,MEMORIAL,,,,,,,489F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 13:05:22,2018-04-09 13:05:22,2018-04-06 10:15:05,-3.12,Pothole-101002979718,3052361.25077,13844545.49251,29.77328101,-95.58296202,Voice In
99156,12239723-101002979882,"105 POST OAK, HOUSTON TX 77024",HARRIS,G,GREATER UPTOWN,1268820010001,,,,,,491M,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 14:18:40,2018-04-09 14:18:40,2018-04-06 10:45:06,-3.15,Pothole,,,29.76650241,-95.45905446,WEB
99159,12239724-101002979886,"1501 HENDRIX, HOUSTON TX 77093",HARRIS,H,EASTEX - JENSEN AREA,0770670000017,NE,NE,MONDAY,2nd Thursday,MONDAY-B,453H,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 14:20:28,2018-04-09 14:20:27,2018-04-06 09:05:05,-3.22,Pothole-101002979886,3123465.44518,13870883.52021,29.83977524,-95.35634953,Voice In
99172,12239727-101002979903,Intersection 6400 BARNSTON ST&3200 KING ST,,H,EASTEX - JENSEN AREA,,NE,NE,MONDAY,2nd Friday,,454N,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 14:27:07,2018-04-09 14:27:06,2018-04-06 08:30:06,-3.25,Pothole-101002979903,3129045.14235,13863142.91135,,,Voice In
99201,12239732-101002979943,Intersection 2100 SPANN ST&2230 WELCH ST,Harris County,G,AFTON OAKS / RIVER OAKS AREA,,NW,SW,MONDAY,1st Wednesday,MONDAY-A,492Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 14:44:43,2018-04-09 14:44:43,2018-04-06 11:50:06,-3.12,Pothole,,,29.74828156,-95.41413883,WEB
99227,12239740-101002979980,"3918 OAKVILLE, UNINCORPORATED TX 77093",HARRIS,,,0984060000793,,,,,,414P,Aldine PID,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 14:56:47,2018-04-09 14:56:47,2018-04-06 09:40:05,-3.22,Pothole,,,29.88725897,-95.32951359,Unknown
99230,12239742-101002979986,"5009 E RIDGE CREEK, HOUSTON TX 77053",FORT BEND,K,FORT BEND HOUSTON,6254020081800907,SW,SW,FRIDAY,4th Friday,FRIDAY-A,611D,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 14:58:12,2018-04-09 14:58:12,2018-04-10 15:30:08,1.02,Pothole-101002979986,3095200.04338,13779240.35737,29.59026082,-95.45422769,Voice In
99281,12239758-101002980065,Intersection 8900 AIRPORT BLVD&8100 HANSEN RD,,I,GREATER HOBBY AREA,,,,,,,575D,HCID #9,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 15:24:22,2018-04-09 15:24:22,2018-04-06 12:25:06,-3.12,Pothole-101002980065,3156711.98203,13803677.19268,,,Voice In
99284,12239759-101002980069,Intersection 7900 W BELLFORT AVE&11300 PEMBRIDGE DR,Harris County,K,BRAYS OAKS,,SW,SW,THURSDAY,3rd Thursday,THURSDAY-A,570C,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 15:25:33,2018-04-09 15:25:32,2018-04-06 13:35:07,-3.08,Pothole-101002980069,3074578.73816,13802407.23623,29.65564733,-95.51691439,Voice In
99334,12239779-101002980136,"3311 BAER, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,1368730010001,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494J,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 15:48:12,2018-04-09 15:48:12,2018-04-06 14:00:06,-3.08,Pothole,,,29.76812649,-95.33608348,WEB
99353,12239783-101002980160,"11610 HIGH STAR, HOUSTON TX 77072",HARRIS,F,ALIEF,1030340000183,SW,SW,MONDAY,1st Thursday,MONDAY-A,529B,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 16:04:42,2018-04-09 16:04:42,2018-04-06 10:55:06,-3.22,Pothole,,,29.71178112,-95.5831008,WEB
99375,12239789-101002980188,"4509 OATES, HOUSTON TX 77013",HARRIS,I,EL DORADO / OATES PRAIRIE,0410150060301,,,,,,456S,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 16:16:29,2018-04-09 16:16:29,2018-04-23 07:45:08,13.64,Pothole - 271452,-95.24088,29.80468,29.80453935,-95.24113253,WAP
99508,12239816-101002980348,Intersection 3500 MCKINNEY ST&1000 YORK ST,,I,GREATER EASTWOOD,,,,,,,494S,East Downtown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 18:08:34,2018-04-10 08:00:00,2018-04-06 08:20:06,-3.99,Pothole-101002980348,3128623.54215,13836215.07151,,,Voice In
99511,12239818-101002980352,Intersection 9100 HAZEN ST&7900 PELLA DR,Harris County,J,SHARPSTOWN,,SW,SW,TUESDAY,2nd Monday,TUESDAY-B,530J,Sharpstown MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 18:10:59,2018-04-10 08:00:00,2018-04-06 12:00:07,-3.83,Pothole-101002980352,3065072.16236,13815417.60949,29.69218634,-95.54562371,Voice In
99625,12239831-101002980497,"1220 SHEPHERD, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1374920010001,NW,NW,MONDAY,1st Wednesday,MONDAY-A,492H,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-05 22:31:13,2018-04-10 08:00:00,2018-04-06 13:10:06,-3.78,Pothole - 271534,-95.40949,29.77231,29.77250925,-95.40937261,WAP
99760,12239865-101002980645,Intersection 2700 ROCKYRIDGE DR&9516 WESTHEIMER RD,Harris County,F,MID WEST,,SW,,MONDAY,1st Friday,,490T,Westchase MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 08:20:09,2018-04-10 08:20:09,2018-04-09 11:55:07,-0.85,Pothole-101002980645,3068770.19072,13831921.247420002,29.73725124,-95.53244014,Voice In
99832,12239879-101002980729,"17118 W LITTLE YORK, UNINCORPORATED TX 77084",HARRIS,A,,1237300010001,,,,,,407U,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:03:32,2018-04-10 09:03:31,2018-04-09 14:20:08,-0.78,Pothole - 270486,-95.6689,29.86711,29.86558664,-95.67059265,WAP
99839,12239883-101002980736,"11115 MCGALLION, HOUSTON TX 77076",HARRIS,H,NORTHSIDE/NORTHLINE,0750700540900,NE,NW,MONDAY,3rd Monday,MONDAY-B,413Y,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:03:51,2018-04-10 09:03:51,2018-04-09 14:05:12,-0.79,Pothole - 270576,-95.36848,29.86466,29.8644934,-95.36848094,WAP
99872,12239889-101002980770,"5832 #4 DARLING, HOUSTON TX 77007",HARRIS,C,WASHINGTON AVENUE COALITION / MEMORIAL P,1324490010003,NW,NW,THURSDAY,3rd Wednesday,THURSDAY-B,492B,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:04:41,2018-04-10 09:04:40,2018-04-09 09:35:08,-0.98,Pothole - 270893,-95.42789,29.78,29.78004035,-95.42784697,WAP
99882,12239892-101002980782,"5103 BROOM, HOUSTON TX 77091",HARRIS,C,CENTRAL NORTHWEST,0302320120016,NW,NW,THURSDAY,4th Tuesday,THURSDAY-B,451G,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:04:58,2018-04-10 09:04:58,2018-04-09 11:50:07,-0.89,Pothole - 271161,-95.46709,29.84161,29.84143775,-95.46723224,WAP
99911,12239901-101002980812,"2221 SPANN, HOUSTON TX 77019",HARRIS,G,AFTON OAKS / RIVER OAKS AREA,1339580060002,NW,SW,MONDAY,1st Wednesday,MONDAY-A,492Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:05:36,2018-04-10 09:05:36,2018-04-09 09:20:08,-0.99,Pothole - 271228,-95.41437,29.74807,29.74811995,-95.41438109,WAP
99919,12239904-101002980819,"9502 JONES, UNINCORPORATED TX 77064",HARRIS,A,,1268920010001,,,,,,409B,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:05:47,2018-04-10 09:05:47,2018-04-09 13:30:08,-0.82,Pothole - 271251,-95.58455,29.91015,29.91024389,-95.5843992,WAP
99929,12239905-101002980829,"3552 CLINE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,1255600010052,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:00,2018-04-10 09:06:00,2018-04-06 14:45:06,-3.76,Pothole - 271294,-95.33378,29.76665,29.76658709,-95.33395867,WAP
99936,12239906-101002980837,"11801 BARRYKNOLL, HOUSTON TX 77024",HARRIS,G,MEMORIAL,0810490000004,NW,NW,MONDAY,4th Wednesday,MONDAY-A,490B,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:09,2018-04-10 09:06:09,2018-04-09 15:10:08,-0.75,Pothole - 271311,-95.53169,29.77866,29.77847631,-95.53197401,WAP
99943,12239907-101002980843,"3935 GREENS, HOUSTON TX 77396",HARRIS,B,IAH / AIRPORT AREA,0451960001001,,,,,,374P,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:18,2018-04-10 09:06:18,2018-04-09 11:10:08,-0.91,Pothole - 271349,-95.32914,29.95146,29.95179739,-95.32914331,WAP
99944,12239908-101002980844,"16058 VICKERY, HOUSTON TX 77032",HARRIS,B,IAH / AIRPORT AREA,1140270010001,,,,,,374Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:20,2018-04-10 09:06:20,2018-04-09 10:30:07,-0.94,Pothole - 271350,-95.31493,29.95205,29.95150721,-95.31423693,WAP
99945,12239909-101002980845,"3010 GREENS, HOUSTON TX 77032",HARRIS,B,IAH / AIRPORT AREA,1199410010001,,,,,,374N,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:22,2018-04-10 09:06:22,2018-04-09 12:40:08,-0.85,Pothole - 271351,-95.34055,29.95135,29.95084044,-95.34059415,WAP
99948,12239911-101002980847,"16102 AIR CENTER, HOUSTON TX 77032",HARRIS,B,,1158820000032,,,,,,373Q,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:24,2018-04-10 09:06:24,2018-04-09 13:00:08,-0.84,Pothole - 271358,-95.37329,29.95364,29.95336391,-95.37247701,WAP
99949,12239912-101002980849,"5742 GREENS, HOUSTON TX 77032",HARRIS,B,IAH / AIRPORT AREA,0791410080220,NE,NE,MONDAY,2nd Wednesday,MONDAY-B,374R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:26,2018-04-10 09:06:26,2018-04-09 09:35:08,-0.98,Pothole - 271385,-95.30526,29.95217,29.95191474,-95.30536814,WAP
99950,12239913-101002980850,"5650 GREENS, HOUSTON TX 77032",HARRIS,B,IAH / AIRPORT AREA,0791410020030,NE,NE,MONDAY,2nd Wednesday,MONDAY-B,374R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:27,2018-04-10 09:06:26,2018-04-09 10:00:07,-0.96,Pothole - 271386,-95.30785,29.95215,29.95187642,-95.30801789,WAP
99951,12239914-101002980851,"502 PEDEN, HOUSTON TX 77019",HARRIS,C,NEARTOWN - MONTROSE,0541750000009,NW,NE,MONDAY,1st Wednesday,MONDAY-A,493N,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:29,2018-04-10 09:06:28,2018-04-09 10:35:07,-0.94,Pothole - 271387,-95.38745,29.75286,29.7528179,-95.38748896,WAP
99972,12239922-101002980872,"2515 MORSE, HOUSTON TX 77019",HARRIS,C,NEARTOWN - MONTROSE,0291630000004,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492V,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:06:54,2018-04-10 09:06:54,2018-04-09 09:45:08,-0.97,Pothole - 271457,-95.40544,29.74315,29.7431593,-95.40518551,WAP
100057,12239937-101002980973,Intersection 11850 S GLEN DR&9800 S KIRKWOOD RD,Harris County,F,ALIEF,,,,,,,529S,International MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:39:11,2018-04-10 09:39:11,2018-04-09 11:05:08,-0.94,Pothole,,,29.6719213,-95.58767191,Unknown
100075,12239940-101002980994,Intersection 200 HAMBLEN RD&21800 LOOP 494,,E,KINGWOOD AREA,,,,,,,335M,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 09:47:44,2018-04-10 09:46:00,2018-04-09 09:15:08,-1.02,Pothole-101002980994,3153087.56802,13941452.36989,,,e-mail In
100152,12239958-101002981078,Intersection 13710 MEMORIAL DR&462 YORKCHESTER DR,Harris County,G,MEMORIAL,,,,,,,489F,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 10:19:40,2018-04-10 10:19:40,2018-04-09 13:20:09,-0.87,Pothole,,,29.77328101,-95.58296202,Unknown
100170,12239963-101002981096,"9434 E AVENUE L, HOUSTON TX 77012",HARRIS,I,HARRISBURG / MANCHESTER,0530830000041,SE,SE,MONDAY,1st Monday,MONDAY-B,535D,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 10:27:15,2018-04-10 10:27:15,2018-04-06 15:00:06,-3.81,Pothole-101002981096,3155849.04019,13827473.476780003,29.71764617,-95.25863517,Voice In
100321,12239997-101002981268,Intersection 9746 BAUMAN RD&300 BRIARCLIFF DR,Harris County,H,NORTHSIDE/NORTHLINE,,NE,NW,MONDAY,3rd Monday,MONDAY-B,453C,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 11:32:48,2018-04-10 11:32:48,2018-04-09 14:35:11,-0.87,Pothole-101002981268,3118448.75672,13874122.14497,29.84910578,-95.37184899,Voice In
100373,12240004-101002981327,"7025 AVENUE E, HOUSTON TX 77011",HARRIS,I,MAGNOLIA PARK,0390230000016,SE,SE,MONDAY,1st Thursday,MONDAY-A,494V,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 12:02:29,2018-04-10 12:02:29,2018-04-06 15:20:06,-3.86,Pothole,,,29.73830659,-95.30006378,Unknown
100505,12240114-101002981478,Intersection 2100 MASON ST&200 WELCH ST,Harris County,C,FOURTH WARD,,,,,,,493P,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 13:02:16,2018-04-10 13:02:15,2018-04-09 10:05:08,-1.12,Pothole-101002981478,3115439.95368,13838083.24165,29.75030337,-95.38484955,Voice In
100613,12240061-101002981620,Intersection 5290 BEECHNUT ST&0 CHIMNEY ROCK RD,,C,MEYERLAND AREA,,,,,,Tuesday-b,531P,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 14:05:09,2018-04-10 14:05:08,2018-04-09 14:00:09,-1.0,Pothole-101002981620,3087149.60705,13814912.876579998,,,Voice In
100624,12240062-101002981632,"4400 NORTH, HOUSTON TX 77022",HARRIS,H,NORTHSIDE/NORTHLINE,1313350010002,,,,,,453K,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 14:09:41,2018-04-10 14:09:41,2018-04-09 11:15:07,-1.12,Pothole,,,29.83292587,-95.3830248,Unknown
100625,12240062-101002981633,"4400 NORTH, HOUSTON TX 77022",HARRIS,H,NORTHSIDE/NORTHLINE,1313350010002,,,,,,453K,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 14:10:21,2018-04-10 14:10:21,2018-04-06 14:10:31,-4.0,Pothole,,,29.83292587,-95.3830248,Unknown
100743,12235084-101002981777,"3531 N BRAESWOOD, HOUSTON TX 77025",HARRIS,C,BRAESWOOD,0780630030001,SW,SE,TUESDAY,3rd Tuesday,Tuesday-B,532K,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 15:12:55,2018-04-10 15:12:55,2018-04-06 15:13:05,-4.0,Pothole,,,29.69247068,-95.43092677,WEB
100778,12240089-101002981818,Intersection 15800 BLUE RIDGE RD&7100 W FUQUA ST,,K,FORT BEND HOUSTON,,SW,SW,FRIDAY,3rd Friday,,571W,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 15:34:23,2018-04-10 15:34:23,2018-04-09 11:20:08,-1.18,Pothole,,,,,Unknown
100808,12240096-101002981848,"12442 BRIAR FOREST, HOUSTON TX 77077",HARRIS,G,BRIAR FOREST,0992570010026,,,,,,488R,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-06 15:50:44,2018-04-10 15:50:44,2018-04-09 13:30:08,-1.1,Pothole-101002981848,3046977.02401,13837377.5554,29.75400896,-95.6005837,Voice In
101233,12240183-101002982353,"9630 W BELLFORT, HOUSTON TX 77031",HARRIS,J,BRAYS OAKS,1375720010001,,,,,,569D,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 09:02:26,2018-04-11 08:00:00,2018-04-09 10:30:07,-1.9,Pothole - 271784,-95.54937,29.65405,29.65443784,-95.54981055,WAP
101359,12240223-101002982485,"5800 COCHRAN, HOUSTON TX 77009",HARRIS,H,NEAR NORTHSIDE,0641370020001,NE,NW,FRIDAY,1st Friday,FRIDAY-B,453V,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 12:01:12,2018-04-11 08:00:00,2018-04-09 08:55:08,-1.96,Pothole - 271813,-95.35659,29.81193,29.81206551,-95.35636339,WAP
101360,12240222-101002982484,"612 9TH, HOUSTON TX 77007",HARRIS,C,GREATER HEIGHTS,0202370000001,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,492D,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 12:01:12,2018-04-11 08:00:00,2018-04-09 10:30:07,-1.9,Pothole - 271811,-95.40377,29.78687,29.78675039,-95.40374426,WAP
101393,12240232-101002982521,"3520 S SHEPHERD, HOUSTON TX 77098",HARRIS,C,GREENWAY / UPPER KIRBY AREA,0630760050022,NW,SW,MONDAY,1st Wednesday,MONDAY-A,492Y,HCID #3 (Upper Kirby),PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 13:01:23,2018-04-11 08:00:00,2018-04-09 10:05:07,-1.91,Pothole - 271818,-95.41075,29.7344,29.73436503,-95.41096207,WAP
101461,12240245-101002982590,"1702 WOODHEAD, HOUSTON TX 77019",HARRIS,C,NEARTOWN - MONTROSE,1268170010001,NW,NE,MONDAY,1st Wednesday,MONDAY-A,492R,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 15:16:15,2018-04-11 08:00:00,2018-04-09 09:05:07,-1.95,Pothole - 271853,-95.40482,29.75075,29.75059844,-95.40493059,WAP
101468,12240248-101002982597,"605 W 19TH, HOUSTON TX 77008",HARRIS,C,GREATER HEIGHTS,0200890000047,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452V,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 15:31:11,2018-04-11 08:00:00,2018-04-09 10:45:08,-1.89,Pothole - 271857,-95.40836,29.80282,29.80291643,-95.40827917,WAP
101469,12240249-101002982598,"5243 BEECHNUT, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0853790000002,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531P,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 15:31:13,2018-04-11 08:00:00,2018-04-09 13:20:09,-1.78,Pothole - 271856,-95.47458,29.68901,29.68877863,-95.47446029,WAP
101538,12240273-101002982668,Intersection 2900 HARRISBURG BLVD&400 PAIGE ST,,H,SECOND WARD,,,,,,,494N,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 19:44:32,2018-04-11 08:00:00,2018-04-09 13:55:09,-1.75,Pothole,,,,,WEB
101539,12240274-101002982669,Intersection 1900 DUMBLE ST&1400 MUNGER ST,Harris County,I,GREATER EASTWOOD,,SE,SE,MONDAY,1st Wednesday,MONDAY-A,494X,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 19:50:42,2018-04-11 08:00:00,2018-04-09 11:10:07,-1.87,Pothole,,,29.72825053,-95.33221436,WEB
101548,12240280-101002982678,Intersection 6200 SOUTHWEST FWY&6200 WESTPARK DR,,J,MID WEST,,,,,,,491W,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 20:29:05,2018-04-11 08:00:00,2018-04-09 10:30:07,-1.9,Pothole-101002982678,3081792.65287,13827391.53305,,,Voice In
101557,12240282-101002982688,"1296 POST OAK, HOUSTON TX 77055",HARRIS,A,SPRING BRANCH EAST,0440820030145,,,,,,451Z,Spring Branch MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-07 21:58:43,2018-04-11 08:00:00,2018-04-25 10:15:08,14.09,Pothole-101002982688,3092205.89188,13852396.0398,29.79160025,-95.45667155,Voice In
101703,12240335-101002982847,"16427 QUAIL PARK, HOUSTON TX 77489",FORT BEND,K,FORT BEND HOUSTON,5890010100210907,SW,SW,FRIDAY,3rd Friday,FRIDAY-A,610C,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-08 13:18:09,2018-04-11 08:00:00,2018-04-09 11:45:07,-1.84,Pothole-101002982847,3075053.22803,13777899.82692,29.58824039,-95.51771833,Voice In
101764,12240354-101002982913,Intersection 300 PORT ST&7300 TEXARKANA ST,Harris County,H,DENVER HARBOR / PORT HOUSTON,,NE,NE,FRIDAY,1st Tuesday,FRIDAY-B,495A,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-08 15:29:23,2018-04-11 08:00:00,2018-04-10 14:35:09,-0.73,Pothole,,,29.78420632,-95.29648576,Unknown
101846,12240373-101002982999,"2901 AIRLINE, HOUSTON TX 77009",HARRIS,H,GREATER HEIGHTS,0351100110001,NW,NW,THURSDAY,1st Friday,THURSDAY-A,453P,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-08 18:31:33,2018-04-11 08:00:00,2018-04-08 18:50:07,-2.55,Pothole - 272094,-95.38285,29.81393,29.81347592,-95.38322493,WAP
101894,12240390-101002983049,"5359 MCCULLOCH, HOUSTON TX 77056",HARRIS,G,GREATER UPTOWN,0770870080026,SW,SW,MONDAY,1st Friday,MONDAY-A,491Y,SAINT GEORGE PLACE MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-08 23:01:14,2018-04-11 08:00:00,2018-04-09 09:40:08,-1.93,Pothole - 272123,-95.47107,29.73166,29.73184785,-95.47108139,WAP
101932,12240405-101002983090,Intersection 1300 75TH ST&7500 NAVIGATION BLVD,,I,MAGNOLIA PARK,,SE,SE,MONDAY,1st Thursday,non active,495S,East End MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-09 07:30:06,2018-04-10 16:30:06,2018-04-09 14:50:08,-1.07,Pothole,,,,,WEB
102065,12240447-101002983229,Intersection 12600 DORWAYNE CT&1400 FEDERAL RD,,E,NORTHSHORE,,,,,,,496L,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-09 09:05:54,2018-04-11 09:05:54,2018-04-10 10:00:09,-0.96,Pothole-101002983229,3169735.59378,13844866.25729,,,Voice In
102101,12240459-101002983277,Intersection 2800 STANFORD ST&600 WESTHEIMER RD,,C,NEARTOWN - MONTROSE,,NW,NE,MONDAY,1st Wednesday,Monday-b,493S,Montrose Management District,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-09 09:36:26,2018-04-11 09:36:26,2018-04-09 15:05:09,-1.77,Pothole,,,,,WEB
102351,12240518-101002983552,Intersection 7748 CRESTMONT ST&6000 LYNDHURST DR,Harris County,D,SOUTH PARK,,SE,SE,FRIDAY,4th Wednesday,FRIDAY-A,534X,,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-09 12:10:31,2018-04-11 12:10:30,2018-04-24 13:00:09,13.03,Pothole-101002983552,3134194.00115,13808543.78499,29.66750156,-95.32869729,Voice In
102382,12240522-101002983585,"911 E 32ND, HOUSTON TX 77022",HARRIS,H,INDEPENDENCE HEIGHTS,0522460000018,NW,NW,TUESDAY,2nd Friday,Tuesday-A,453N,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Pothole,ROWM_StreetMain,18.0,Closed,2018-04-09 12:25:36,2018-04-11 12:25:36,2018-04-10 09:05:08,-1.14,Pothole-101002983585,3114100.80544,13861757.20251,29.81548921,-95.38676318,Voice In
